UF,regional,municipio,co_municipio,no_municipio
MA,são joao dos patos,são domingos do azeitao,2110658,São Domingos do Azeitão
PA,castanhal,são domingos do capim,1507201,São Domingos do Capim
MA,presidente dutra,São Domingos do Maranhão,2110708,São Domingos do Maranhão
ES,SRE Colatina,São Domingos do Norte,3204658,São Domingos do Norte
MG,SRE NOVA ERA,SÃO DOMINGOS DO PRATA,3161007,São Domingos do Prata
RS,7º CRE (Passo Fundo),São Domingos do Sul,4318051,São Domingos do Sul
BA,21,SAO FELIPE,2929107,São Felipe
RO,PIMENTA BUENO,São Felipe D'Oeste,1101484,São Felipe D'Oeste
BA,21,SAO FELIX,2929008,São Félix
MA,balsas,são felix de balsas,2110807,São Félix de Balsas
MG,SRE GOVERNADOR VALADARES,SÃO FÉLIX DE MINAS,3161056,São Félix de Minas
MT,CONFRESA,São Félix do Araguaia,5107859,São Félix do Araguaia
BA,23,SAO FELIX DO CORIBE,2929057,São Félix do Coribe
PI,07ª,SAO FELIX DO PIAUI,2209609,São Félix do Piauí
TO,PALMAS,São Félix do Tocantins,1720150,São Félix do Tocantins
PA,Xinguara,são félix do Xingu,1507300,São Félix do Xingu
RN,10,são fernando,2411809,São Fernando
RJ,NORTE FLUMINENSE,São Fidélis,3304805,São Fidélis
MG,SRE JANUÁRIA,SÃO FRANCISCO,3161106,São Francisco
PB,Sousa,São Francisco,2513984,São Francisco
SP,JALES,SAO FRANCISCO,3549003,São Francisco
SE,DRE06,SÃO FRANCISCO,2806909,São Francisco
RS,8º CRE (Santa Maria),São Francisco de Assis,4318101,São Francisco de Assis
PI,17ª,São Francisco de Assis do Piauí,2209658,São Francisco de Assis do Piauí
GO,CRE-GOIANÉSIA,SÃO FRANCISCO DE GOIÁS,5219902,São Francisco de Goiás
RJ,NORTE FLUMINENSE,São Francisco de Itabapoana,3304755,São Francisco de Itabapoana
MG,SRE CAMPO BELO,SÃO FRANCISCO DE PAULA,3161205,São Francisco de Paula
RS,4º CRE (Caxias do Sul),São Francisco de Paula,4318200,São Francisco de Paula
MG,SRE UBERABA,SÃO FRANCISCO DE SALES,3161304,São Francisco de Sales
MA,açailandia,são francisco do brejao,2110856,São Francisco do Brejão
BA,21,SAO FRANCISCO DO CONDE,2929206,São Francisco do Conde
MG,SRE MURIAÉ,SÃO FRANCISCO DO GLÓRIA,3161403,São Francisco do Glória
RO,SÃO FRANCISCO,São Francisco do Guaporé,1101492,São Francisco do Guaporé
MA,timon,são francisco do maranhao,2110906,São Francisco do Maranhão
RN,15,são francisco do oeste,2411908,São Francisco do Oeste
PA,castanhal,são francisco do Pará,1507409,São Francisco do Pará
PI,10ª,SAO FRANCISCO DO PIAUI,2209708,São Francisco do Piauí
SC,Coordenadoria Regional de Educação de Joinville,São Francisco do Sul,4216206,São Francisco do Sul
BA,1,São Gabriel,2929255,São Gabriel
RS,19º CRE (Santana do Livramento),São Gabriel,4318309,São Gabriel
AM,Norte Amazonense,São Gabriel da Cachoeira,1303809,São Gabriel da Cachoeira
ES,SRE Nova Venécia,São Gabriel da Palha,3204708,São Gabriel da Palha
MS,CRE 4,São Gabriel do Oeste,5007695,São Gabriel do Oeste
MG,SRE UBÁ,SÃO GERALDO,3161502,São Geraldo
MG,SRE GOVERNADOR VALADARES,SÃO GERALDO DA PIEDADE,3161601,São Geraldo da Piedade
PA,Marabá,São Geraldo do Araguaia,1507458,São Geraldo do Araguaia
MG,SRE GOVERNADOR VALADARES,SÃO GERALDO DO BAIXIO,3161650,São Geraldo do Baixio
RJ,METROPOLITANA II,São Gonçalo,3304904,São Gonçalo
MG,SRE PATOS DE MINAS,SÃO GONÇALO DO ABAETÉ,3161700,São Gonçalo do Abaeté
CE,CREDE 02,São Gonçalo do Amarante,2312403,São Gonçalo do Amarante
RN,1,são goncalo do amarante,2412005,São Gonçalo do Amarante
PI,15ª,SAO GONCALO DO GURGUEIA,2209757,São Gonçalo do Gurguéia
MG,SRE DIVINÓPOLIS,SÃO GONÇALO DO PARÁ,3161809,São Gonçalo do Pará
PI,06ª,SAO GONCALO DO PIAUI,2209807,São Gonçalo do Piauí
MG,SRE NOVA ERA,SÃO GONÇALO DO RIO ABAIXO,3161908,São Gonçalo do Rio Abaixo
MG,SRE DIAMANTINA,SÃO GONÇALO DO RIO PRETO,3125507,São Gonçalo do Rio Preto
MG,SRE VARGINHA,SÃO GONÇALO DO SAPUCAÍ,3162005,São Gonçalo do Sapucaí
BA,19,SAO GONCALO DOS CAMPOS,2929305,São Gonçalo dos Campos
MG,SRE PATOS DE MINAS,SÃO GOTARDO,3162104,São Gotardo
RS,12º CRE (Guaíba),Sao Jeronimo,4318408,São Jerônimo
PR,CORNELIO PROCOPIO,SAO JERONIMO DA SERRA,4124707,São Jerônimo da Serra
PR,PATO BRANCO,SAO JOAO,4124806,São João
PE,AGRESTE MERIDIONAL (GARANHUNS),São João,2613206,São João
MA,viana,são joao batista,2111003,São João Batista
SC,Coordenadoria Regional de Educação de Brusque,São João Batista,4216305,São João Batista
MG,SRE PASSOS,SÃO JOÃO BATISTA DO GLÓRIA,3162203,São João Batista do Glória
GO,CRE-PLANALTINA,São João d'Aliança,5220009,São João d'Aliança
RR,RR,Sao Joao da Baliza,1400506,São João da Baliza
RJ,NORTE FLUMINENSE,São João da Barra.,3305000,São João da Barra
SP,SAO JOAO DA BOA VISTA,SAO JOAO DA BOA VISTA,3549102,São João da Boa Vista
PI,09ª,SAO JOAO DA CANABRAVA,2209856,São João da Canabrava
PI,03ª,SAO JOAO DA FRONTEIRA,2209872,São João da Fronteira
MG,SRE MONTES CLAROS,SÃO JOÃO DA LAGOA,3162252,São João da Lagoa
MG,SRE POUSO ALEGRE,SÃO JOÃO DA MATA,3162302,São João da Mata
GO,CRE-SÃO L. M. BELOS,SÃO JOÃO DA PARAÚNA,5220058,São João da Paraúna
PA,castanhal,são João da Ponta,1507466,São João da Ponta
MG,SRE MONTES CLAROS,SÃO JOÃO DA PONTE,3162401,São João da Ponte
PI,05ª,SAO JOAO DA SERRA,2209906,São João da Serra
RS,15º CRE (Erechim),São João da Urtiga,4318424,São João da Urtiga
PI,08ª,São João da Varjota,2209955,São João da Varjota
SP,FERNANDOPOLIS,SAO JOAO DAS DUAS PONTES,3549201,São João das Duas Pontes
MG,SRE JANUÁRIA,SÃO JOÃO DAS MISSÕES,3162450,São João das Missões
SP,FERNANDOPOLIS,SAO JOAO DE IRACEMA,3549250,São João de Iracema
RJ,METROPOLITANA VII,São João de Meriti.,3305109,São João de Meriti
PA,capanema,são João de Pirabas,1507474,São João de Pirabas
MG,SRE SÃO JOÃO DEL REI,SÃO JOÃO DEL REI,3162500,São João del Rei
PA,"",são João do araguaia,1507508,São João do Araguaia
PI,02ª,SAO JOAO DO ARRAIAL,2209971,São João do Arraial
PR,PARANAVAI,SAO JOAO DO CAIUA,4124905,São João do Caiuá
PB,Monteiro,São João do Cariri,2514008,São João do Cariri
MA,santa ines,são joao do caru,2111029,São João do Carú
SC,Coordenadoria Regional de Educação de Joinville,São João do Itaperiú,4216354,São João do Itaperiú
PR,IVAIPORA,SAO JOAO DO IVAI,4125001,São João do Ivaí
CE,CREDE 10,São João do Jaguaribe,2312502,São João do Jaguaribe
MG,SRE MANHUAÇU,SÃO JOÃO DO MANHUAÇU,3162559,São João do Manhuaçu
MG,SRE GOVERNADOR VALADARES,SÃO JOÃO DO MANTENINHA,3162575,São João do Manteninha
SC,Coordenadoria Regional de Educação de Itapiranga,São João do Oeste,4216255,São João do Oeste
MG,SRE CARATINGA,SÃO JOÃO DO ORIENTE,3162609,São João do Oriente
MG,SRE MONTES CLAROS,SÃO JOÃO DO PACUÍ,3162658,São João do Pacuí
MA,imperatriz,são joao do paraiso,2111052,São João do Paraíso
MG,SRE MONTES CLAROS,SÃO JOÃO DO PARAÍSO,3162708,São João do Paraíso
SP,ADAMANTINA,SAO JOAO DO PAU D'ALHO,3549300,São João do Pau d'Alho
PI,12ª,SAO JOAO DO PIAUI,2210003,São João do Piauí
RS,8º CRE (Santa Maria),São João do Polêsine,4318432,São João do Polêsine
PB,Cajazeiras,São João do Rio do Peixe,2500700,São João do Rio do Peixe
RN,10,são joao do sabugi,2412104,São João do Sabugi
MA,caxias,são joao do soter,2111078,São João do Soter
SC,Coordenadoria Regional de Educação de Araranguá,São João do Sul,4216404,São João do Sul
PB,Monteiro,São João do Tigre,2514107,São João do Tigre
PR,PONTA GROSSA,SAO JOAO DO TRIUNFO,4125100,São João do Triunfo
MA,são joao dos patos,são joao dos patos,2111102,São João dos Patos
MG,SRE GUANHÃES,SÃO JOÃO EVANGELISTA,3162807,São João Evangelista
MG,SRE JUIZ DE FORA,SÃO JOÃO NEPOMUCENO,3162906,São João Nepomuceno
SC,Coordenadoria Regional de Educação de São Joaquim,São Joaquim,4216503,São Joaquim
SP,SAO JOAQUIM DA BARRA,SAO JOAQUIM DA BARRA,3549409,São Joaquim da Barra
MG,SRE METROPOLITANA B,SÃO JOAQUIM DE BICAS,3162922,São Joaquim de Bicas
PE,MATA CENTRO (VITÓRIA DE SANTO ANTÃO),São Joaquim do Monte,2613305,São Joaquim do Monte
RS,16º CRE (Bento Gonçalves),São Jorge,4318440,São Jorge
PR,DOIS VIZINHOS,SAO JORGE D'OESTE,4125209,São Jorge d'Oeste
PR,MARINGA,SAO JORGE DO IVAI,4125308,São Jorge do Ivaí
PR,UMUARAMA,SAO JORGE DO PATROCINIO,4125357,São Jorge do Patrocínio
SC,Coordenadoria Regional de Educação de Florianópolis,São José,4216602,São José
MG,SRE PASSOS,SÃO JOSÉ DA BARRA,3162948,São José da Barra
SP,FRANCA,SAO JOSE DA BELA VISTA,3549508,São José da Bela Vista
PR,WENCESLAU BRAZ,SAO JOSE DA BOA VISTA,4125407,São José da Boa Vista
PE,MATA SUL (PALMARES),São José da Coroa Grande,2613404,São José da Coroa Grande
PB,Sousa,São José da Lagoa Tapada,2514206,São José da Lagoa Tapada
AL,7a GEE,São José da Laje,2708303,São José da Laje
MG,SRE METROPOLITANA C,SÃO JOSÉ DA LAPA,3162955,São José da Lapa
MG,SRE GOVERNADOR VALADARES,SÃO JOSÉ DA SAFIRA,3163003,São José da Safira
AL,8a GEE,São José da Tapera,2708402,São José da Tapera
MG,SRE PARÁ DE MINAS,SÃO JOSÉ DA VARGINHA,3163102,São José da Varginha
BA,5,São José da Vitória,2929354,São José da Vitória
RS,20º CRE (Palmeira das Missões),São José das Missões,4318457,São José das Missões
PR,TOLEDO,SAO JOSE DAS PALMEIRAS,4125456,São José das Palmeiras
PB,Itaporanga,São José de Caiana,2514305,São José de Caiana
PB,Patos,São José de Espinharas,2514404,São José de Espinharas
RN,2,são jose de mipibu,2412203,São José de Mipibu
PB,Cajazeiras,São José de Piranhas,2514503,São José de Piranhas
PB,Princesa Isabel,São José de Princesa,2514552,São José de Princesa
MA,são luis,são jose de ribamar,2111201,São José de Ribamar
RJ,NOROESTE FLUMINENSE,São José de Ubá,3305133,São José de Ubá
MG,SRE ITAJUBÁ,SÃO JOSÉ DO ALEGRE,3163201,São José do Alegre
SP,GUARATINGUETA,SAO JOSE DO BARREIRO,3549607,São José do Barreiro
PE,SERTÃO CENTRAL (SALGUEIRO),São José do Belmonte,2613503,São José do Belmonte
PB,Patos,São José do Bonfim,2514602,São José do Bonfim
PB,Catolé do Rocha,São José do Brejo do Cruz,2514651,São José do Brejo do Cruz
ES,SRE Guaçuí,São José do Calçado,3204807,São José do Calçado
RN,3,São José do Campestre,2412302,São José do Campestre
SC,Coordenadoria Regional de Educação de Dionísio Cerqueira,São José do Cedro,4216701,São José do Cedro
SC,Coordenadoria Regional de Educação de Lages,São José do Cerrito,4216800,São José do Cerrito
MG,SRE GOVERNADOR VALADARES,SÃO JOSÉ DO DIVINO,3163300,São José do Divino
PI,03ª,SAO JOSE DO DIVINO,2210052,São José do Divino
PE,SERTÃO DO ALTO PAJEÚ (AFOGADOS DA INGAZEIRA),São José do Egito,2613602,São José do Egito
MG,SRE NOVA ERA,SÃO JOSÉ DO GOIABAL,3163409,São José do Goiabal
RS,25º CRE (Soledade),São José do Herval,4318465,São José do Herval
RS,2º CRE (São Leopoldo),São José do Hortêncio,4318481,São José do Hortêncio
RS,17º CRE (Santa Rosa),São José do Inhacorá,4318499,São José do Inhacorá
BA,15,SAO JOSE DO JACUIPE,2929370,São José do Jacuípe
MG,SRE GUANHÃES,SÃO JOSÉ DO JACURI,3163508,São José do Jacuri
MG,SRE MANHUAÇU,SÃO JOSÉ DO MANTIMENTO,3163607,São José do Mantimento
RS,18º CRE (Rio Grande),São José do Norte,4318507,São José do Norte
RS,15º CRE (Erechim),São José do Ouro,4318606,São José do Ouro
PI,10ª,SAO JOSE DO PEIXE,2210102,São José do Peixe
PI,09ª,SAO JOSE DO PIAUI,2210201,São José do Piauí
MT,RONDONÓPOLIS,São José do Povo,5107297,São José do Povo
MT,DIAMANTINO,São José do Rio Claro,5107305,São José do Rio Claro
SP,SAO JOAO DA BOA VISTA,SAO JOSE DO RIO PARDO,3549706,São José do Rio Pardo
SP,SAO JOSE DO RIO PRETO,SAO JOSE DO RIO PRETO,3549805,São José do Rio Preto
PB,Patos,São José do Sabugi,2514701,São José do Sabugi
RN,10,são jose do serido,2412401,São José do Seridó
RS,2º CRE (São Leopoldo),São José do Sul,4318614,São José do Sul
RJ,SERRANA I,São José do Vale do Rio Preto,3305158,São José do Vale do Rio Preto
MT,CONFRESA,São José do Xingu,5107354,São José do Xingu
RS,23º CRE (Vacaria),São José dos Ausentes,4318622,São José dos Ausentes
MA,presidente dutra,são jose dos basilios,2111250,São José dos Basílios
SP,SAO JOSE DOS CAMPOS,SAO JOSE DOS CAMPOS,3549904,São José dos Campos
PB,Monteiro,São José dos Cordeiros,2514800,São José dos Cordeiros
PR,AREA METROPOLITANA SUL,SAO JOSE DOS PINHAIS,4125506,São José dos Pinhais
MT,CÁCERES,São José dos Quatro Marcos,5107107,São José dos Quatro Marcos
PB,Itabaiana,São José dos Ramos,2514453,São José dos Ramos
PI,16ª,SAO JULIAO,2210300,São Julião
RS,2º CRE (São Leopoldo),São Leopoldo,4318705,São Leopoldo
MG,SRE CAXAMBU,SÃO LOURENÇO,3163706,São Lourenço
PE,METROPOLITANA SUL,São Lourenço da Mata,2613701,São Lourenço da Mata
SP,ITAPECERICA DA SERRA,SAO LOURENCO DA SERRA,3549953,São Lourenço da Serra
SC,Coordenadoria Regional de Educação de São Lourenço do Oeste,São Lourenço do Oeste,4216909,São Lourenço do Oeste
PI,13ª,SAO LOURENCO DO PIAUI,2210359,São Lourenço do Piauí
RS,5º CRE (Pelotas),São Lourenço do Sul,4318804,São Lourenço do Sul
SC,Coordenadoria Regional de Educação de Braço do Norte,São Ludgero,4217006,São Ludgero
MA,são luis,são luis,2111300,São Luís
GO,CRE-SÃO L. M. BELOS,SÃO LUÍS DE MONTES BELOS,5220108,São Luís de Montes Belos
CE,CREDE 02,São Luis do Curu,2312601,São Luís do Curu
PI,09ª,São Luís do Piauí,2210375,São Luis do Piauí
AL,10a GEE,São Luis do Quitunde,2708501,São Luís do Quitunde
MA,bacabal,São Luís Gonzaga do Maranhão,2111409,São Luís Gonzaga do Maranhão
RR,RR,Sao Luiz,1400605,São Luiz
GO,CRE-URUAÇU,SÃO LUÍZ DO NORTE,5220157,São Luiz do Norte
SP,TAUBATE,SAO LUIZ DO PARAITINGA,3550001,São Luiz do Paraitinga
RS,32º CRE (São Luiz Gonzaga),São Luiz Gonzaga,4318903,São Luiz Gonzaga
PB,Patos,São Mamede,2514909,São Mamede
PR,CIANORTE,SAO MANOEL DO PARANA,4125555,São Manoel do Paraná
SP,BOTUCATU,SAO MANUEL,3550100,São Manuel
RS,4º CRE (Caxias do Sul),São Marcos,4319000,São Marcos
RS,21º CRE (Três Passos),São Martinho,4319109,São Martinho
SC,Coordenadoria Regional de Educação de Braço do Norte,São Martinho,4217105,São Martinho
RS,8º CRE (Santa Maria),São Martinho da Serra,4319125,São Martinho da Serra
ES,SRE São Mateus,São Mateus,3204906,São Mateus
MA,codo,São Mateus do Maranhão,2111508,São Mateus do Maranhão
PR,UNIAO DA VITORIA,SAO MATEUS DO SUL,4125605,São Mateus do Sul
RN,15,são miguel,2412500,São Miguel
SP,ITAPETININGA,SAO MIGUEL ARCANJO,3550209,São Miguel Arcanjo
PI,07ª,SAO MIGUEL DA BAIXA GRANDE,2210383,São Miguel da Baixa Grande
SC,Coordenadoria Regional de Educação de Maravilha,São Miguel da Boa Vista,4217154,São Miguel da Boa Vista
BA,9,São Miguel das Matas,2929404,São Miguel das Matas
RS,14º CRE (Santo Ângelo),São Miguel das Missões,4319158,São Miguel das Missões
PB,Itabaiana,São Miguel de Taipu,2515005,São Miguel de Taipu
SE,DRE03,SÃO MIGUEL DO ALEIXO,2807006,São Miguel do Aleixo
MG,SRE PONTE NOVA,SÃO MIGUEL DO ANTA,3163805,São Miguel do Anta
GO,CRE-SÃO M. ARAGUAIA,SAO MIGUEL DO ARAGUAIA,5220207,São Miguel do Araguaia
PI,08ª,SAO MIGUEL DO FIDALGO,2210391,São Miguel do Fidalgo
PA,castanhal,são Miguel do Guamá,1507607,São Miguel do Guamá
RO,SÃO FRANCISCO,São Miguel do Guaporé,1100320,São Miguel do Guaporé
PR,FOZ DO IGUACU,SAO MIGUEL DO IGUACU,4125704,São Miguel do Iguaçu
SC,Coordenadoria Regional de Educação de São Miguel do Oeste,São Miguel do Oeste,4217204,São Miguel do Oeste
GO,CRE-SILVÂNIA,SÃO MIGUEL DO PASSA QUATRO,5220264,São Miguel do Passa Quatro
PI,05ª,SAO MIGUEL DO TAPUIO,2210409,São Miguel do Tapuio
TO,ARAGUATINS,São Miguel do Tocantins,1720200,São Miguel do Tocantins
AL,2a GEE,São Miguel dos Campos,2708600,São Miguel dos Campos
AL,10a GEE,São Miguel dos Milagres,2708709,São Miguel dos Milagres
RS,32º CRE (São Luiz Gonzaga),São Nicolau,4319208,São Nicolau
GO,CRE-CERES,SAO PATRICIO,5220280,São Patrício
SP,São Paulo,SAO PAULO,3550308,São Paulo
RS,17º CRE (Santa Rosa),São Paulo das Missões,4319307,São Paulo das Missões
AM,Sudoeste Amazonense,São Paulo de Olivença,1303908,São Paulo de Olivença
RN,4,são paulo do potengi,2412609,São Paulo do Potengi
RN,4,são pedro,2412708,São Pedro
SP,PIRACICABA,SAO PEDRO,3550407,São Pedro
MA,açailandia,são pedro da agua branca,2111532,São Pedro da Água Branca
RJ,BAIXADAS LITÔRANEAS,São Pedro da Aldeia,3305208,São Pedro da Aldeia
MT,RONDONÓPOLIS,São Pedro da Cipa,5107404,São Pedro da Cipa
RS,2º CRE (São Leopoldo),São Pedro da Serra,4319356,São Pedro da Serra
MG,SRE SÃO SEBASTIÃO DO PARAÍSO,SÃO PEDRO DA UNIÃO,3163904,São Pedro da União
RS,20º CRE (Palmeira das Missões),São Pedro das Missões,4319364,São Pedro das Missões
SC,Coordenadoria Regional de Educação de Florianópolis,São Pedro de Alcântara,4217253,São Pedro de Alcântara
RS,14º CRE (Santo Ângelo),São Pedro do Butiá,4319372,São Pedro do Butiá
PR,TOLEDO,SAO PEDRO DO IGUACU,4125753,São Pedro do Iguaçu
PR,IVAIPORA,SAO PEDRO DO IVAI,4125803,São Pedro do Ivaí
PR,LOANDA,SAO PEDRO DO PARANA,4125902,São Pedro do Paraná
PI,06ª,SAO PEDRO DO PIAUI,2210508,São Pedro do Piauí
MG,SRE GUANHÃES,SÃO PEDRO DO SUAÇUÍ,3164100,São Pedro do Suaçuí
RS,8º CRE (Santa Maria),São Pedro do Sul,4319406,São Pedro do Sul
SP,OURINHOS,SAO PEDRO DO TURVO,3550506,São Pedro do Turvo
MA,balsas,são pedro dos crentes,2111573,São Pedro dos Crentes
MG,SRE PONTE NOVA,SÃO PEDRO DOS FERROS,3164001,São Pedro dos Ferros
RN,11,são rafael,2412807,São Rafael
MA,balsas,são raimundo das mangabeiras,2111607,São Raimundo das Mangabeiras
MA,barra do corda,são raimundo do doca bezerra,2111631,São Raimundo do Doca Bezerra
PI,13ª,SAO RAIMUNDO NONATO,2210607,São Raimundo Nonato
MA,barra do corda,são roberto,2111672,São Roberto
MG,SRE PIRAPORA,SÃO ROMÃO,3164209,São Romão
SP,SAO ROQUE,SAO ROQUE,3550605,São Roque
MG,SRE PASSOS,SÃO ROQUE DE MINAS,3164308,São Roque de Minas
ES,SRE Colatina,São Roque do Canaã,3204955,São Roque do Canaã
TO,GURUPI,São Salvador do Tocantins,1720259,São Salvador do Tocantins
AL,5a GEE,São Sebastião,2708808,São Sebastião
SP,CARAGUATATUBA,SAO SEBASTIAO,3550704,São Sebastião
PR,CORNELIO PROCOPIO,SAO SEBASTIAO DA AMOREIRA,4126009,São Sebastião da Amoreira
MG,SRE POUSO ALEGRE,SÃO SEBASTIÃO DA BELA VISTA,3164407,São Sebastião da Bela Vista
PA,curralinho,são sebastião da Boa vista,1507706,São Sebastião da Boa Vista
SP,SAO JOAO DA BOA VISTA,SAO SEBASTIAO DA GRAMA,3550803,São Sebastião da Grama
MG,SRE MURIAÉ,SÃO SEBASTIÃO DA VARGEM ALEGRE,3164431,São Sebastião da Vargem Alegre
PB,Campina Grande,São Sebastião de Lagoa de Roça,2515104,São Sebastião de Lagoa de Roça
RJ,SERRANA II,São Sebastião do Alto,3305307,São Sebastião do Alto
MG,SRE CARATINGA,SÃO SEBASTIÃO DO ANTA,3164472,São Sebastião do Anta
RS,2º CRE (São Leopoldo),Sao Sebastiao do Cai,4319505,São Sebastião do Caí
MG,SRE GUANHÃES,SÃO SEBASTIÃO DO MARANHÃO,3164506,São Sebastião do Maranhão
MG,SRE DIVINÓPOLIS,SÃO SEBASTIÃO DO OESTE,3164605,São Sebastião do Oeste
MG,SRE SÃO SEBASTIÃO DO PARAÍSO,SÃO SEBASTIÃO DO PARAÍSO,3164704,São Sebastião do Paraíso
BA,21,SAO SEBASTIAO DO PASSE,2929503,São Sebastião do Passé
MG,SRE NOVA ERA,SÃO SEBASTIÃO DO RIO PRETO,3164803,São Sebastião do Rio Preto
MG,SRE CAXAMBU,SÃO SEBASTIÃO DO RIO VERDE,3164902,São Sebastião do Rio Verde
TO,ARAGUATINS,São Sebastião do Tocantins,1720309,São Sebastião do Tocantins
AM,Centro Amazonense,São Sebastião do Uatumã,1303957,São Sebastião do Uatumã
PB,Monteiro,São Sebastião do Umbuzeiro,2515203,São Sebastião do Umbuzeiro
RS,8º CRE (Santa Maria),São Sepé,4319604,São Sepé
GO,CRE-QUIRINÓPOLIS,SÃO SIMÃO,5220405,São Simão
SP,RIBEIRAO PRETO,SAO SIMAO,3550902,São Simão
MG,SRE SÃO JOÃO DEL REI,SÃO TIAGO,3165008,São Tiago
MG,SRE SÃO SEBASTIÃO DO PARAÍSO,SÃO TOMÁS DE AQUINO,3165107,São Tomás de Aquino
PR,CIANORTE,SAO TOME,4126108,São Tomé
RN,4,são tome,2412906,São Tomé
MG,SRE CAXAMBU,SÃO THOMÉ DAS LETRAS,3165206,São Tomé das Letras
RS,15º CRE (Erechim),São Valentim,4319703,São Valentim
RS,16º CRE (Bento Gonçalves),São Valentim do Sul,4319711,São Valentim do Sul
TO,GURUPI,São Valério da Natividade,1720499,São Valério
RS,21º CRE (Três Passos),São Valério do Sul,4319737,São Valério do Sul
RS,2º CRE (São Leopoldo),São Vendelino,4319752,São Vendelino
RN,9,são vicente,2413003,São Vicente
SP,SAO VICENTE,SAO VICENTE,3551009,São Vicente
MG,SRE BARBACENA,SÃO VICENTE DE MINAS,3165305,São Vicente de Minas
PB,Campina Grande,São Vicente do Seridó,2515401,São Vicente do Seridó
RS,8º CRE (Santa Maria),São Vicente do Sul,4319802,São Vicente do Sul
MA,viana,São Vicente Ferrer,2111706,São Vicente Ferrer
PE,MATA NORTE (NAZARÉ DA MATA),São Vicente Ferrer,2613800,São Vicente Férrer
PB,João Pessoa,Sapé,2515302,Sapé
BA,21,SAPEACU,2929602,Sapeaçu
MT,TANGARÁ DA SERRA,Sapezal,5107875,Sapezal
RS,2º CRE (São Leopoldo),Sapiranga,4319901,Sapiranga
PR,TELEMACO BORBA,SAPOPEMA,4126207,Sapopema
MG,SRE ITAJUBÁ,SAPUCAÍ-MIRIM,3165404,Sapucaí-Mirim
PA,Xinguara,sapucaia,1507755,Sapucaia
RJ,SERRANA I,Sapucaia,3305406,Sapucaia
RS,27º CRE (Canoas),Sapucaia do Sul,4320008,Sapucaia do Sul
RJ,BAIXADAS LITÔRANEAS,Saquarema.,3305505,Saquarema
PR,MARINGA,SARANDI,4126256,Sarandi
RS,39º CRE (Carazinho),Sarandi,4320107,Sarandi
SP,ITAPETININGA,SARAPUI,3551108,Sarapuí
MG,SRE GOVERNADOR VALADARES,SARDOÁ,3165503,Sardoá
SP,PIRAJU,SARUTAIA,3551207,Sarutaiá
MG,SRE METROPOLITANA B,SARZEDO,3165537,Sarzedo
BA,18,SATIRO DIAS,2929701,Sátiro Dias
AL,12a GEE,Satuba,2708907,Satuba
MA,santa ines,satubinha,2111722,Satubinha
BA,21,SAUBARA,2929750,Saubara
PR,PATO BRANCO,SAUDADE DO IGUACU,4126272,Saudade do Iguaçu
SC,Coordenadoria Regional de Educação de Maravilha,Saudades,4217303,Saudades
BA,16,SAUDE,2929800,Saúde
SC,Coordenadoria Regional de Educação de Jaraguá do Sul,Schroeder,4217402,Schroeder
BA,3,Seabra,2929909,Seabra
SC,Coordenadoria Regional de Educação de Seara,Seara,4217501,Seara
SP,VOTUPORANGA,SEBASTIANOPOLIS DO SUL,3551306,Sebastianópolis do Sul
PI,15ª,SEBASTIAO BARROS,2210623,Sebastião Barros
BA,13,Sebastião Laranjeiras,2930006,Sebastião Laranjeiras
PI,11ª,SEBASTIAO LEAL,2210631,Sebastião Leal
RS,20º CRE (Palmeira das Missões),Seberi,4320206,Seberi
RS,21º CRE (Três Passos),Sede Nova,4320230,Sede Nova
RS,24º CRE (Cachoeira do Sul),Segredo,4320263,Segredo
RS,25º CRE (Soledade),Selbach,4320305,Selbach
MS,CRE 12,Selvíria,5007802,Selvíria
MG,SRE PONTE NOVA,SEM-PEIXE,3165560,Sem-Peixe
AC,PURUS,SENA MADUREIRA,1200500,Sena Madureira
MA,presidente dutra,senador alexandre costa,2111748,Senador Alexandre Costa
MG,SRE POUSO ALEGRE,SENADOR AMARAL,3165578,Senador Amaral
GO,CRE-APARECIDA,SENADOR CANEDO,5220454,Senador Canedo
MG,SRE JUIZ DE FORA,SENADOR CORTES,3165602,Senador Cortes
RN,4,senador eloi de souza,2413102,Senador Elói de Souza
MG,SRE UBÁ,SENADOR FIRMINO,3165701,Senador Firmino
RN,2,Senador Georgino Avelino,2413201,Senador Georgino Avelino
AC,BAIXO ACRE,SENADOR GUIOMARD,1200450,Senador Guiomard
MG,SRE POUSO ALEGRE,SENADOR JOSÉ BENTO,3165800,Senador José Bento
PA,altamira,senador José Porfírio,1507805,Senador José Porfírio
MA,imperatriz,senador la rocque,2111763,Senador La Rocque
MG,SRE DIAMANTINA,SENADOR MODESTINO GONÇALVES,3165909,Senador Modestino Gonçalves
CE,CREDE 14,Senador Pompeu,2312700,Senador Pompeu
AL,"",Senador Rui Palmeira,2708956,Senador Rui Palmeira
CE,CREDE 06,Senador Sá,2312809,Senador Sá
RS,17º CRE (Santa Rosa),Senador Salgado Filho,4320321,Senador Salgado Filho
PR,WENCESLAU BRAZ,SENGES,4126306,Sengés
BA,25,SENHOR DO BONFIM,2930105,Senhor do Bonfim
MG,SRE CONSELHEIRO LAFAIETE,SENHORA DE OLIVEIRA,3166006,Senhora de Oliveira
MG,SRE GUANHÃES,SENHORA DO PORTO,3166105,Senhora do Porto
